,theta,phi
0,0.1,0.16788348683280738
1,0.1,0.12191719910326652
2,0.1,0.17449131622609407
3,0.1,0.16341583012462443
4,0.1,0.15023699910309551
5,0.2,0.22046042245177028
6,0.2,0.23922136482784895
7,0.2,0.18716040350202803
8,0.2,0.23205475208708093
9,0.2,0.21520059476091324
10,0.30000000000000004,0.31075808297158714
11,0.30000000000000004,0.3336086172698509
12,0.30000000000000004,0.3229786179709622
13,0.30000000000000004,0.33975263590091953
14,0.30000000000000004,0.3624249477827004
15,0.4,0.5475537393704069
16,0.4,0.5733103710101837
17,0.4,0.5427057322640797
18,0.4,0.5638324236441167
19,0.4,0.5303293091882187
20,0.5,0.6286023606096603
21,0.5,0.63716516365936
22,0.5,0.6405822944205517
23,0.5,0.6384607878969981
24,0.5,0.6245773115158173
25,0.6000000000000001,0.7609923868689928
26,0.6000000000000001,0.7543426733292532
27,0.6000000000000001,0.76732279687112
28,0.6000000000000001,0.7563965343978096
29,0.6000000000000001,0.7703068633814598
30,0.7000000000000001,0.9038147616329912
31,0.7000000000000001,0.9207754158721065
32,0.7000000000000001,0.9061662392401123
33,0.7000000000000001,0.9195106631148994
34,0.7000000000000001,0.9239925499060814
35,0.8,1.2263252208669393
36,0.8,1.2201623059721316
37,0.8,1.2099787025143578
38,0.8,1.2111787634485605
39,0.8,1.216859855883351
40,0.9,1.3922125195781785
41,0.9,1.3981935322616197
42,0.9,1.3414969899512525
43,0.9,1.3579461675825428
44,0.9,1.3792499745598483
45,1.0,1.487816005516734
46,1.0,1.519801687469977
47,1.0,1.5281538947252764
48,1.0,1.496459964472698
49,1.0,1.4754130182359224
50,2.0,3.081016170965905
51,2.0,3.2555381436308672
52,2.0,3.1993256841817104
53,2.0,3.1617166661449887
54,2.0,3.1511399763264367
55,3.0,5.294342754578072
56,3.0,4.985811729864246
57,3.0,4.995090893472759
58,3.0,5.187141859155043
59,3.0,4.891877899787059
60,4.0,6.786943628356776
61,4.0,6.38975210251827
62,4.0,6.76940051622315
63,4.0,6.522711243231485
64,4.0,6.674312855638189
65,5.0,8.519059004930932
66,5.0,8.18827661801567
67,5.0,8.331814870102434
68,5.0,8.378146980328822
69,5.0,8.05440195662538
70,6.0,9.964544790509681
71,6.0,9.665698041951677
72,6.0,10.093574335956955
73,6.0,9.917664701511178
74,6.0,9.874313296950337
75,7.0,11.42711736082599
76,7.0,11.346168434675764
77,7.0,11.480047646948982
78,7.0,11.510347794114693
79,7.0,11.342565799302246
80,8.0,13.032414768614085
81,8.0,13.12602887930568
82,8.0,12.98043945648474
83,8.0,13.074658146851348
84,8.0,13.032270503888292
85,9.0,14.5471294175474
86,9.0,14.669499040648265
87,9.0,14.665911220298089
88,9.0,14.541999859391609
89,9.0,14.55602718275097
90,10.0,16.331322065490973
91,10.0,16.25144391775383
92,10.0,16.15170177831887
93,10.0,16.378123561183173
94,10.0,16.350779590618977
